"Pesca marítima. Desembarques mensuales totales por puerto. Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 14
,,,,
Período,Total desembarques,Desembarques por puerto,,
,,Ushuaia,Almanza,
,,toneladas,,
,,,,
Agosto,9087.1,9086.9,0.2,
Septiembre,2704.6000000000004,2704.3,0.3,
Octubre,15877.7,15877.5,0.2,
Noviembre,8471.8,8471.8,0,
Diciembre,9104.6,9104.6,0,
2003,97684.4,97683.09999999999,1.2999999999999998,
Enero,2134.2999999999997,2134.2,0.1,
Febrero,3169.4,3168.8,0.6,
Marzo,8742.5,8741.9,0.6,
Abril,11734.1,11734.1,0,
Mayo,9796.2,9796.2,0,
Junio ,12493.1,12493.1,0,
Julio,11981.8,11981.8,0,
Agosto,2674,2674,0,
Septiembre,6747.5,6747.5,0,
Octubre,3858.8,3858.8,0,
Noviembre,13999.8,13999.8,0,
Diciembre,10352.9,10352.9,0,
2004,128205.19999999998,128205.19999999998,0,
Enero,1962,1962,0,
Febrero,7055.4,7055.4,0,
Marzo,13126.1,13126.1,0,
Abril,12953.7,12953.7,0,
Mayo,18168.6,18168.6,0,
Junio ,10538.6,10538.6,0,
Julio,12987.4,12987.4,0,
Agosto,11880.2,11880.2,0,
Septiembre,2564.8,2564.8,0,
Octubre,4834.4,4834.4,0,
Noviembre,16678.6,16678.6,0,
Diciembre,15455.4,15455.4,0,
2005,90472.70000000001,90472.70000000001,0,
Enero,2463.2,2463.2,0,
Febrero,6063.4,6063.4,0,
Marzo,8397.3,8397.3,0,
Abril,9115.6,9115.6,0,
Mayo,15516.2,15516.2,0,
Junio ,9516.7,9516.7,0,
Julio,7237.4,7237.4,0,
Agosto,9683.2,9683.2,0,
Septiembre,1073,1073,0,
Octubre,33.1,33.1,0,
Noviembre,5262.8,5262.8,0,
Diciembre,16110.8,16110.8,0,
2006,103610.5,103607,3.5,
Enero,1643,1643,0,
Febrero,6571.3,6571.3,0,
Marzo,12756,12756,0,
Abril,2171.5,2171.5,0,
Mayo,19528.7,19528.7,0,
Junio ,12812.8,12812.8,0,
Julio,7390,7390,0,
Agosto,7465.4,7465.4,0,
Septiembre,4363.6,4363.6,0,
Octubre,14107,14103.5,3.5,
Noviembre,2832.3,2832.3,0,
Diciembre,11968.9,11968.9,0,
2007,79658.79999999999,79658.4,0.4,
Enero,3617.4,3617.4,0,
Febrero,3798.6,3798.6,0,
Marzo,10682.9,10682.5,0.4,
Abril,6323.4,6323.4,0,
Mayo,16696.8,16696.8,0,
Junio ,13040.1,13040.1,0,
Julio,7695.8,7695.8,0,
Agosto,0,0,0,
Septiembre,2057.2,2057.2,0,
Octubre,364.5,364.5,0,
Noviembre,5896.5,5896.5,0,
Diciembre,9485.6,9485.6,0,
2008,94333.7,94333.7,0,
Enero,661.2,661.2,0,
Febrero,3842.1,3842.1,0,
Marzo,7310.6,7310.6,0,
Abril,7430.6,7430.6,0,
Mayo,17691.8,17691.8,0,
Junio ,17813.2,17813.2,0,
Julio,4723.3,4723.3,0,
Agosto,9685,9685,0,
Septiembre,1548.5,1548.5,0,
Octubre,6495.2,6495.2,0,
Noviembre,3372.4,3372.4,0,
Diciembre,13759.8,13759.8,0,
2009,101575.49999999999,101575.49999999999,0,
Enero,3548.6,3548.6,0,
Febrero,6758.2,6758.2,0,
Marzo,6387.1,6387.1,0,
Abril,13614.5,13614.5,0,
Mayo,10589.1,10589.1,0,
Junio ,17406.3,17406.3,0,
Julio,10218.5,10218.5,0,
Agosto,464.9,464.9,0,
Septiembre,12704.9,12704.9,0,
Octubre,3608.5,3608.5,0,
Noviembre,5675.7,5675.7,0,
Diciembre,10599.2,10599.2,0,
2010,79693.69999999998,79693.69999999998,0,
Enero,1404.9,1404.9,0,
Febrero,5011.3,5011.3,0,
Marzo,6338.5,6338.5,0,
Abril,5436.4,5436.4,0,
Mayo,21113.1,21113.1,0,
Junio ,4809.8,4809.8,0,
Julio,7245.2,7245.2,0,
Agosto,4248.2,4248.2,0,
Septiembre,1886.2,1886.2,0,
Octubre,8533.9,8533.9,0,
Noviembre,4057.9,4057.9,0,
Diciembre,9608.3,9608.3,0,
2011,63171.899999999994,63171.899999999994,0,
Enero,285.8,285.8,0,
Febrero,5455.2,5455.2,0,
Marzo,3620,3620,0,
Abril,12230.7,12230.7,0,
Mayo,4841.9,4841.9,0,
Junio ,10543.8,10543.8,0,
Julio,5352.4,5352.4,0,
Agosto,3771.5,3771.5,0,
Septiembre,4932.5,4932.5,0,
Octubre,2054.1,2054.1,0,
Noviembre,5331.2,5331.2,0,
Diciembre,4752.8,4752.8,0,
2012,69215.36700000001,69215.36700000001,0,
Enero,478.06199999999995,478.06199999999995,0,
Febrero,1876.4119999999998,1876.4119999999998,0,
Marzo,12822.904999999997,12822.904999999997,0,
Abril,2720.383,2720.383,0,
Mayo,17040.190000000002,17040.190000000002,0,
Junio ,2788.6600000000003,2788.6600000000003,0,
Julio,8150.919,8150.919,0,
Agosto,1216.4389999999999,1216.4389999999999,0,
Septiembre,5999.357000000001,5999.357000000001,0,
Octubre,301.065,301.065,0,
Noviembre,4903.826,4903.826,0,
Diciembre,10917.149000000003,10917.149000000003,0,
2013,42496.568,42485.185,11.383,
Enero,4936.9800000000005,4936.9800000000005,0,
Febrero,592.799,592.799,0,
Marzo,7820.519999999999,7820.519999999999,0,
Abril,5160.257999999999,5160.257999999999,0,
Mayo,2800.544,2800.544,0,
Junio ,4486.772000000001,4486.772000000001,0,
Julio,3289.6229999999996,3289.6229999999996,0,
Agosto,2603.4370000000004,2603.4370000000004,0,
Septiembre,0,0,0,
Octubre,3796.491,3785.108,11.383,
Noviembre,1663.1470000000002,1663.1470000000002,0,
Diciembre,5345.997,5345.997,0,
2014,46250.711,46243.661,7.050000000000001,
Enero,661.0270000000002,661.0270000000002,0,
Febrero,3367.8809999999994,3367.8809999999994,0,
Marzo,6571.701,6571.701,0,
Abril,1968.8819999999998,1966.7369999999999,2.145,
Mayo,9581.497,9581.497,0,
Junio ,257.113,257.113,0,
Julio,6301.8060000000005,6301.8060000000005,0,
Agosto,0,0,0,
Septiembre,1411.1000000000001,1411.1000000000001,0,
Octubre,4096.305,4091.4,4.905,
Noviembre,5874.161999999999,5874.161999999999,0,
Diciembre,6159.237,6159.237,0,
2015,53625.53,53625.53,0,
Enero,2711.915,2711.915,0,
Febrero,2571.0389999999998,2571.0389999999998,0,
Marzo,5211.664,5211.664,0,
Abril,5324.631,5324.631,0,
Mayo,6223.979,6223.979,0,
Junio ,3952.169,3952.169,0,
Julio,3965.183,3965.183,0,
Agosto,5189.129999999999,5189.129999999999,0,
Septiembre,0,0,0,
Octubre,5341.990000000002,5341.990000000002,0,
Noviembre,6618.645,6618.645,0,
Diciembre,6515.185,6515.185,0,
2016,47964.922,47957.704,7.218,
Enero,1949.4410000000005,1949.4410000000005,0,
Febrero,5518.071999999999,5518.071999999999,0,
Marzo,5281.716999999999,5281.716999999999,0,
Abril,0,0,0,
Mayo,5945.044,5945.044,0,
Junio ,1199.231,1199.231,0,
Julio,4744.720999999999,4744.720999999999,0,
Agosto,3769.109000000001,3769.109000000001,0,
Septiembre,0,0,0,
Octubre,7948.845999999999,7948.845999999999,0,
Noviembre,1847.8850000000002,1847.8850000000002,0,
Diciembre,9760.856000000002,9753.638,7.218,
2017 (1),41496.33,41496.33,0,
Enero,2112.171,2112.171,0,
Febrero,5171.536,5171.536,0,
Marzo,3644.1130000000003,3644.1130000000003,0,
Abril,1103.3690000000004,1103.3690000000004,0,
Mayo,7141.217000000002,7141.217000000002,0,
Junio ,245.30799999999996,245.30799999999996,0,
Julio,4971.228,4971.228,0,
Agosto,84.675,84.675,0,
Septiembre,42.077000000000005,42.077000000000005,0,
Octubre,3876.9730000000013,3876.9730000000013,0,
Noviembre,5369.489000000001,5369.489000000001,0,
Diciembre,7734.174000000003,7734.174000000003,0,
2018 (1),53691.704999999994,53691.704999999994,0,
Enero,3090.1810000000005,3090.1810000000005,0,
Febrero,1714.3979999999995,1714.3979999999995,0,
Marzo,4214.816000000001,4214.816000000001,0,
Abril,2860.437999999999,2860.437999999999,0,
Mayo,4607.803999999998,4607.803999999998,0,
Junio ,8346.28,8346.28,0,
Julio,2083.783000000001,2083.783000000001,0,
Agosto,5481.925999999998,5481.925999999998,0,
Septiembre,2458.331,2458.331,0,
Octubre,8858.055,8858.055,0,
Noviembre,329.42100000000005,329.42100000000005,0,
Diciembre,9646.272000000003,9646.272000000003,0,
2019 (1),49524.36499999999,49524.36499999999,0,
Enero,4772.941999999997,4772.941999999997,0,
Febrero,2895.4730000000004,2895.4730000000004,0,
Marzo,5860.754000000002,5860.754000000002,0,
Abril,7260.54,7260.54,0,
Mayo,1942.0889999999997,1942.0889999999997,0,
Junio ,8325.205000000002,8325.205000000002,0,
Julio,762.1350000000001,762.1350000000001,0,
Agosto,5000.183,5000.183,0,
Septiembre,135.884,135.884,0,
Octubre,431.28900000000004,431.28900000000004,0,
Noviembre,4819.454,4819.454,0,
