"Pesca marítima. Desembarques totales por puerto y flota. Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto y flota,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022 (1),2023 (2)
Rada o ría,7227.4,23497.1,59.9,39.9,124.0,213.6,295.4,204.1,219.5,103.7,290.8,151.4,89.5,98.7,156.3,51.8,183.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Costeros,101.1,140.9,48.5,35.2,67.1,112.4,144.7,258.8,255.9,222.8,36.9,47.6,39.3,91.9,34.6,39.2,200.5,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Fresqueros,0.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Total congeladores,34089.0,72451.0,112457.0,167341.19999999998,116066.90000000001,124459.0,123916.6,106951.7,121536.29999999999,106043.0,109000.4,89060.79999999999,97294.9,97492.40000000001,128014.3,90381.70000000001,103222.7,79629.0,94333.8,101575.3,79693.7,63171.700000000004,69215.4,42485.18499999998,46243.66099999999,53625.6,47957.704,41496.3,53691.799999999996,49524.299999999996,49666.59999999999,49645.100000000006,39866.3,20951.3
Arrastreros,2461.1,14132.6,25373.0,24944.2,13133.5,8619.2,14746.6,17542.1,13595.2,13965.9,14916.1,12156.9,25440.3,28725.2,43098.0,33803.4,36175.1,35161.9,34511.0,37102.3,35799.7,37290.5,40945.4,19584.80499999999,25929.038999999993,28723.8,24097.91299999999,20908.7,22324.4,18812.0,20246.8,25042.6,14995.4,6558.5
Palangreros,0.0,0.0,0.0,1091.5,5007.8,8074.8,8243.0,4866.7,5923.9,4018.9,3126.6,3351.7,3458.2,2635.4,1431.5,937.6,827.6,1084.1,1051.8,1142.1,1230.7,1100.8,785.1,943.9330000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Tangoneros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Surimeros,31409.6,58318.4,85919.7,141292.7,97925.6,107765.0,100927.0,84542.9,102017.2,88058.2,90957.7,73552.2,68396.4,66131.8,83484.8,55627.3,66220.0,43383.0,58771.0,63330.9,42663.3,24780.4,27484.9,21956.44699999999,0.0,24901.8,23859.79100000001,20507.1,31159.8,30554.2,29249.1,24286.7,24610.2,14339.7
Poteros nacionales,218.3,0.0,598.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
Trampas,0.0,0.0,565.5,12.799999999959255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20314.622000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.7,53.1
Otras artes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,207.6,158.1,170.7,315.8,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desembarques puerto Almanza,0.0,0.0,0.0,0.0,0.0,19.6,19.5,4.0,3.3,44.6,3.1,40.0,10.0,1.3,0.0,0.0,3.5,0.4,0.0,0.0,0.0,0.0,0.0,11.383,7.050000000000001,0.0,7.218,0.0,0.0,0.0,0.0,58.7,0,-
Total fresqueros,0.0,0.0,0.0,0.0,0.0,19.6,19.5,4.0,3.3,44.6,3.1,40.0,10.0,1.3,0.0,0.0,3.5,0.4,0.0,0.0,0.0,0.0,0.0,11.383,7.050000000000001,0.0,7.218,0.0,0.0,0.0,0.0,0.0,0,-
Rada o ría,0.0,0.0,0.0,0.0,0.0,1.3,16.6,4.0,3.3,43.9,3.1,35.6,10.0,1.3,0.0,0.0,3.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Costeros,0.0,0.0,0.0,0.0,0.0,18.3,2.9,0.0,0.0,0.7,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.383,7.050000000000001,0.0,7.218,0.0,0.0,0.0,0.0,58.7,0,-
Fresqueros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)  cifras sujetas a posibles modificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Dato a Octubre 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Cero Absoluto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: Las posibles diferencias entre los subtotales y los totales se deben al redondeo del Sistema General de Pesca (SISGRAL).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Ministerio de Agricultura, Ganadería y Pesca de la Nación. Sistemas de la Subsecretaría de Pesca y Acuicultura (SSPyA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
